M,N,C,D,T,seed,formulation,mipgap,runtime,bnbcnt,objval_LP,objbnd,objval
5,2,2,10,5,6,TEOM,0.006491632591,10800.04287,113533,226.0511647,300.1985801,302.1600924
5,2,2,10,5,6,TEOR,0.001269834797,10800.04674,491793,287.9145368,301.7763783,302.1600717
5,2,2,10,5,7,TEOC,0,6347.639936,29549,300.5560181,302.8566287,302.8566287
5,2,2,10,5,7,TEOM,0.01112117706,10800.08748,51157,226.472012,299.4885105,302.8566327
5,2,2,10,5,7,TEOR,0.006038479307,10800.03913,167490,289.2924252,301.0278295,302.8566229
5,2,2,10,5,8,TEOC,9.14E-08,6215.416397,40647,299.7110374,302.086335,302.0863626
5,2,2,10,5,8,TEOM,7.15E-08,9441.329825,120994,226.5173357,302.086341,302.0863626
5,2,2,10,5,8,TEOR,0.0053642823,10800.05284,204379,289.8048042,300.4658843,302.0863608
5,2,2,10,5,9,TEOC,1.22E-07,10620.67242,62479,300.8380406,303.4118728,303.4119098
5,2,2,10,5,9,TEOM,0.005474531576,10800.08005,87732,225.9606206,301.7508692,303.4119073
5,2,2,10,5,9,TEOR,0.003049879308,10800.08289,249605,288.9352706,302.4865399,303.4119096
5,2,2,10,5,10,TEOC,0.001816469184,10800.09946,56393,300.9525539,303.0252305,303.5766682
5,2,2,10,5,10,TEOM,0.01132744958,10800.07942,56023,223.7618941,300.1379919,303.5767421
5,2,2,10,5,10,TEOR,0.003143129082,10800.07544,238980,288.4620129,302.6011373,303.5552507
5,2,3,10,1,1,TEOC,0,1967.124224,10174,918.9841368,923.209255,923.209255
5,2,3,10,1,1,TEOM,0.03931470263,10800.11348,105040,608.4799149,888.6213008,924.9868851
5,2,3,10,1,1,TEOR,0.02523255849,10800.18018,39170,842.9883292,899.9142506,923.2091802
5,2,3,10,1,2,TEOC,0,2009.705484,7652,920.0942213,923.1007983,923.1007983
5,2,3,10,1,2,TEOM,0.04255533891,10800.35647,88894,607.8056559,887.0832374,926.5112371
5,2,3,10,1,2,TEOR,0.02726430094,10800.10264,45145,844.8587438,899.6123029,924.8270664
5,2,3,10,1,3,TEOC,5.62E-05,2450.775182,13159,918.4828112,922.7737096,922.825577
5,2,3,10,1,3,TEOM,0.03841890758,10800.14433,68801,606.7683973,889.3257824,924.8578091
5,2,3,10,1,3,TEOR,0.02807285849,10800.12884,37235,843.4444595,899.6080818,925.5920978
5,2,3,10,1,4,TEOC,0,2199.512893,14371,923.3996386,926.8714581,926.8714581
5,2,3,10,1,4,TEOM,0.03860940842,10800.10694,112501,608.9486162,893.4790771,929.3611617
5,2,3,10,1,4,TEOR,0.0257044585,10800.15188,42678,843.7025471,903.6998513,927.5418113
5,2,3,10,1,5,TEOC,9.05E-05,1876.152555,17234,920.7671988,923.9088971,923.9925498
5,2,3,10,1,5,TEOM,0.03949753789,10800.12654,78993,612.4554897,890.1791417,926.7848619
5,2,3,10,1,5,TEOR,0.02169685343,10800.13244,44249,855.6380788,904.4807173,924.5403334
5,2,3,10,1,6,TEOC,5.53E-05,1700.164404,7845,917.429664,920.6760844,920.7270174
5,2,3,10,1,6,TEOM,0.03906655729,10800.18135,59634,607.6521328,887.1439017,923.2105599
5,2,3,10,1,6,TEOR,0.02589938964,10800.08977,32995,837.0441898,898.3627915,922.2484638
5,2,3,10,1,7,TEOC,6.07E-05,596.0727489,2905,923.370167,926.4835529,926.5397612
5,2,3,10,1,7,TEOM,0.04462160961,10800.19728,63870,607.8457035,889.8148475,931.3742664
5,2,3,10,1,7,TEOR,0.0301190379,10800.14522,38643,841.3227482,901.1538965,929.138659
5,2,3,10,1,8,TEOC,3.40E-05,2314.763188,14889,920.8012785,924.3619431,924.3933413
5,2,3,10,1,8,TEOM,0.04253544515,10800.41535,70026,607.3241598,886.1782146,925.546758
5,2,3,10,1,8,TEOR,0.03453406756,10800.12212,30238,840.1484859,894.2336415,926.2197779
5,2,3,10,1,9,TEOC,4.77E-06,1771.833376,6770,923.9025808,927.9792951,927.9837239
5,2,3,10,1,9,TEOM,0.04093420742,10800.14413,127636,612.4766659,892.4097493,930.4989879
5,2,3,10,1,9,TEOR,0.02507475778,10800.0984,53228,849.3054246,905.9905096,929.2922887
5,2,3,10,1,10,TEOC,2.42E-05,2789.46205,26361,918.0476567,922.1159321,922.1382518
5,2,3,10,1,10,TEOM,0.03913632058,10800.09107,66042,605.8290564,888.4423477,924.6289216
5,2,3,10,1,10,TEOR,0.02887829714,10800.09821,31033,837.6044337,897.5950755,924.2869074
5,2,3,10,2,1,TEOC,0.0009308749272,10801.39283,14553,924.9986453,927.9791466,928.843784
