varindex,treeid,nodeid,pred,splitvar1,splitval1,splitvar,splitval,vartype,sol
74,5,12,0.681076,0,0,0,0.0,y,0.0
75,5,16,2.093852,0,0,0,0.0,y,0.0
76,5,17,1.097385,0,0,0,0.0,y,0.0
77,5,21,4.31893,0,0,0,0.0,y,1.0
78,5,22,3.38109,0,0,0,0.0,y,0.0
79,5,23,2.87336,0,0,0,0.0,y,0.0
80,5,25,2.91743,0,0,0,0.0,y,0.0
81,5,26,1.8420649999999998,0,0,0,0.0,y,0.0
82,5,29,0.1678599999999999,0,0,0,0.0,y,0.0
83,5,30,1.039196,0,0,0,0.0,y,0.0
84,5,32,2.2431200000000002,0,0,0,0.0,y,0.0
85,5,33,1.257763,0,0,0,0.0,y,0.0
86,6,5,1.401486,0,0,0,0.0,y,0.0
87,6,6,2.430629,0,0,0,0.0,y,0.0
88,6,7,0.9341079999999999,0,0,0,0.0,y,0.0
89,6,9,0.30750999999999995,0,0,0,0.0,y,0.0
90,6,10,1.0277129999999999,0,0,0,0.0,y,0.0
91,6,15,1.497667,0,0,0,0.0,y,0.0
92,6,16,2.2607369999999998,0,0,0,0.0,y,0.0
93,6,17,2.495429,0,0,0,0.0,y,0.0
94,6,19,3.65991,0,0,0,0.0,y,1.0
95,6,20,2.69197,0,0,0,0.0,y,0.0
96,6,25,0.0,0,0,0,0.0,y,0.0
97,6,26,1.019545,0,0,0,0.0,y,0.0
98,6,28,0.934849,0,0,0,0.0,y,0.0
99,6,29,1.5638273,0,0,0,0.0,y,0.0
100,6,30,1.777339,0,0,0,0.0,y,0.0
101,6,32,2.46618,0,0,0,0.0,y,0.0
102,6,33,1.750624,0,0,0,0.0,y,0.0
103,7,4,1.650403,0,0,0,0.0,y,0.0
104,7,5,0.662837,0,0,0,0.0,y,0.0
105,7,7,0.7146210000000001,0,0,0,0.0,y,0.0
106,7,8,0.0,0,0,0,0.0,y,0.0
107,7,12,2.040359,0,0,0,0.0,y,0.0
108,7,13,1.2202547000000001,0,0,0,0.0,y,0.0
109,7,17,3.0180800000000003,0,0,0,0.0,y,0.0
110,7,18,2.131302,0,0,0,0.0,y,0.0
111,7,19,1.7358,0,0,0,0.0,y,0.0
112,7,20,3.08721,0,0,0,0.0,y,1.0
113,7,24,0.57062,0,0,0,0.0,y,0.0
114,7,26,0.7341540000000001,0,0,0,0.0,y,0.0
115,7,27,1.577279,0,0,0,0.0,y,0.0
116,7,28,1.483818,0,0,0,0.0,y,0.0
117,7,31,1.6381640000000002,0,0,0,0.0,y,0.0
118,7,32,2.58092,0,0,0,0.0,y,0.0
119,7,33,1.463723,0,0,0,0.0,y,0.0
120,8,3,0.0,0,0,0,0.0,y,0.0
121,8,5,1.45405,0,0,0,0.0,y,0.0
122,8,7,0.024780000000000024,0,0,0,0.0,y,0.0
123,8,8,0.854865,0,0,0,0.0,y,0.0
124,8,13,0.15802000000000005,0,0,0,0.0,y,0.0
125,8,14,0.8085070000000001,0,0,0,0.0,y,0.0
126,8,15,1.440595,0,0,0,0.0,y,0.0
127,8,18,1.51687,0,0,0,0.0,y,0.0
128,8,20,0.7783680000000001,0,0,0,0.0,y,0.0
129,8,21,1.332367,0,0,0,0.0,y,0.0
130,8,23,1.515898,0,0,0,0.0,y,0.0
131,8,25,1.659067,0,0,0,0.0,y,0.0
132,8,26,3.09883,0,0,0,0.0,y,0.0
133,8,29,3.00016,0,0,0,0.0,y,1.0
134,8,30,2.31586,0,0,0,0.0,y,0.0
135,8,32,1.955859,0,0,0,0.0,y,0.0
136,8,33,1.1144199000000001,0,0,0,0.0,y,0.0
137,9,4,0.0,0,0,0,0.0,y,0.0
138,9,6,0.42569800000000013,0,0,0,0.0,y,0.0
139,9,7,1.267648,0,0,0,0.0,y,0.0
140,9,9,0.743322,0,0,0,0.0,y,0.0
141,9,11,2.0720870000000002,0,0,0,0.0,y,0.0
142,9,12,1.18171558,0,0,0,0.0,y,0.0
143,9,17,0.02732000000000001,0,0,0,0.0,y,0.0
144,9,18,0.8564400000000001,0,0,0,0.0,y,0.0
145,9,20,1.967532,0,0,0,0.0,y,0.0
146,9,22,1.4367240000000001,0,0,0,0.0,y,0.0
147,9,23,0.890587,0,0,0,0.0,y,0.0
148,9,25,1.360591,0,0,0,0.0,y,0.0
149,9,26,2.060045,0,0,0,0.0,y,0.0
150,9,30,3.05065,0,0,0,0.0,y,1.0
151,9,31,2.25647,0,0,0,0.0,y,0.0
152,9,32,2.0429250000000003,0,0,0,0.0,y,0.0
153,9,33,1.592305,0,0,0,0.0,y,0.0
154,10,4,1.0459707,0,0,0,0.0,y,0.0
155,10,7,0.5447560000000001,0,0,0,0.0,y,0.0
156,10,8,0.0,0,0,0,0.0,y,0.0
157,10,9,0.7484330000000001,0,0,0,0.0,y,0.0
158,10,10,1.1130162000000001,0,0,0,0.0,y,0.0
159,10,14,0.9868740000000001,0,0,0,0.0,y,0.0
160,10,15,1.6089660000000001,0,0,0,0.0,y,0.0
161,10,18,1.820576,0,0,0,0.0,y,0.0
162,10,19,2.52353,0,0,0,0.0,y,1.0
